title_year,budget,gross
1996,2923590000,3885196255
1997,3532775000,4772853030
1998,3537920000,4489483543
1999,4180512000,5585372849
2000,5041967000,6214242912
2001,5150040000,6920250031
2002,5305099000,7544466552
2003,5092503218,7107731478
2004,5882743100,7349405888
2005,5147688250,6306235297
2006,4869930000,6961700538
2007,5478097000,7478478547
2008,6154850000,7891738635
2009,6574005000,9108963662
2010,7391255000,9270410632
2011,6662081350,8072112917
2012,7078432000,10307682184
2013,7633735400,9582612190
2014,6525753000,8993068438
2015,6418915000,8502424850
2016,4194050000,4162808915
